id,data_time
160,2018-05-16 16:39:20.5680000
173,2018-05-17 07:22:47.8960000
179,2018-05-17 07:24:21.1990000
185,2018-05-17 07:27:30.0300000
191,2018-05-17 07:28:27.8920000
199,2018-05-17 07:36:36.4930000
205,2018-05-17 07:38:08.8730000
211,2018-05-17 07:56:26.9030000
217,2018-05-17 07:59:40.9440000
223,2018-05-17 08:01:28.2380000
229,2018-05-17 08:09:01.0950000
235,2018-05-17 08:11:09.2660000
241,2018-05-17 08:12:37.3360000
247,2018-05-17 08:13:43.4250000
255,2018-05-17 08:15:31.0220000
259,2018-05-17 08:16:21.5110000
337,2018-05-17 09:56:14.7910000
411,2018-05-17 17:56:04.0450000
427,2018-05-20 10:44:17.4150000
435,2018-05-21 08:59:15.6980000
487,2018-05-22 09:27:58.8540000
488,2018-05-22 09:28:02.6180000
516,2018-05-22 09:53:47.8250000
526,2018-05-22 10:44:22.4430000
589,2018-05-23 07:17:48.8230000
597,2018-05-23 09:51:42.0370000
676,2018-05-28 09:16:08.6690000
677,2018-05-28 09:18:14.1500000
686,2018-05-28 11:04:09.0940000
755,2018-05-28 16:29:44.6310000
840,2018-05-30 14:02:17.5640000
1115,2018-06-01 12:48:10.9350000
1130,2018-06-01 15:54:57.6910000
1326,2018-06-07 14:56:10.7210000
1342,2018-06-10 12:46:22.1390000
1354,2018-06-10 13:11:40.0040000
1488,2018-06-12 22:23:37.9760000
1696,2018-06-14 09:15:26.2510000
2281,2018-06-25 21:03:38.3900000
2289,2018-06-25 21:08:20.1470000
2427,2018-06-26 10:27:45.6150000
2443,2018-06-26 13:03:47.6930000
2658,2018-06-27 12:19:06.8250000
2661,2018-06-27 12:19:37.8570000
2664,2018-06-27 12:19:53.9750000
2723,2018-07-05 14:10:12.3620000
2782,2018-07-09 10:07:49.1060000
2787,2018-07-09 10:53:03.2780000
2788,2018-07-09 11:10:17.9190000
2789,2018-07-09 11:24:27.7250000
2803,2018-07-11 10:55:42.2100000
2815,2018-07-11 15:20:17.6440000
2845,2018-07-24 10:05:02.3950000
2891,2018-07-24 18:22:29.4440000
2892,2018-07-24 18:22:44.1030000
2893,2018-07-24 18:22:53.7770000
2900,2018-07-25 10:08:44.2250000
2926,2018-07-26 10:04:39.1770000
2927,2018-07-26 10:04:40.6300000
2980,2018-07-26 10:35:16.0900000
2981,2018-07-26 10:55:57.0610000
3065,2018-07-31 16:27:57.5660000
3095,2018-07-31 20:03:27.1300000
3109,2018-08-01 16:59:42.9670000
3121,2018-08-01 17:29:22.9980000
3129,2018-08-01 18:31:06.3260000
3137,2018-08-01 18:48:40.4310000
3149,2018-08-01 19:24:28.7720000
3159,2018-08-01 19:35:58.6200000
3314,2018-08-01 21:30:36.7880000
3337,2018-08-02 16:15:40.5280000
3349,2018-08-03 12:02:09.9040000
3408,2018-08-06 17:56:00.9830000
3418,2018-08-06 20:55:25.1980000
3436,2018-08-07 09:09:27.0540000
3743,2018-08-07 12:26:55.9280000
3744,2018-08-07 12:27:13.2650000
3745,2018-08-07 12:27:18.4810000
3746,2018-08-07 12:27:22.7530000
3747,2018-08-07 12:27:25.9000000
3845,2018-08-10 15:35:23.2430000
3852,2018-08-10 15:37:12.3370000
3856,2018-08-10 15:40:00.8750000
3857,2018-08-10 15:40:07.3800000
3871,2018-08-13 10:20:45.3740000
3888,2018-08-14 16:05:25.2040000
3957,2018-08-27 23:31:58.9580000
3958,2018-08-27 23:32:08.9570000
3968,2018-08-28 08:09:11.1860000
4220,2018-08-28 09:38:40.5180000
4404,2018-08-31 13:10:13.5610000
4405,2018-08-31 13:12:43.7850000
4410,2018-08-31 13:35:54.8580000
4411,2018-08-31 13:36:21.9940000
4416,2018-08-31 14:04:26.9780000
4440,2018-09-03 13:09:20.8620000
4453,2018-09-03 21:25:38.1680000
4707,2018-09-10 08:00:47.7430000
4727,2018-09-10 17:20:01.3440000
4739,2018-09-11 10:31:20.1380000
4804,2018-09-12 10:47:35.9840000
4831,2018-09-12 10:52:45.9570000
4832,2018-09-12 10:52:57.2920000
4833,2018-09-12 10:52:58.8250000
4834,2018-09-12 10:53:05.9350000
4835,2018-09-12 10:53:14.8020000
4979,2018-09-21 10:45:50.6650000
4985,2018-09-21 10:48:27.7940000
5590,2018-10-16 13:05:01.3670000
5591,2018-10-16 13:05:06.8700000
5630,2018-10-17 10:02:17.0380000
5648,2018-10-18 13:49:12.5720000
5880,2018-10-26 17:00:36.5170000
5894,2018-10-28 22:28:12.3790000
5907,2018-10-29 14:39:26.2410000
6070,2018-11-05 10:15:38.5850000
6076,2018-11-05 14:23:11.2630000
6143,2018-11-07 13:32:45.8290000
6144,2018-11-07 13:33:06.2460000
6222,2018-11-09 13:45:06.4550000
6223,2018-11-09 13:45:07.9630000
6735,2018-11-23 16:58:57.4540000
6759,2018-11-26 10:02:52.9160000
6772,2018-11-26 10:06:25.4440000
6814,2018-11-26 14:38:30.0790000
6908,2018-11-28 10:43:01.5100000
6944,2018-11-28 21:29:15.6790000
7386,2018-12-12 12:37:06.8820000
7473,2018-12-19 14:44:58.6010000
7474,2018-12-27 07:41:22.5140000
7475,2019-01-04 11:06:24.6000000
7476,2019-01-18 15:51:52.7240000
7477,2019-01-18 15:56:45.8130000
7478,2019-01-18 16:00:01.2280000
7479,2019-01-18 16:11:28.9650000
7480,2019-01-18 16:14:32.9220000
7481,2019-01-18 16:15:48.5600000
7482,2019-01-18 19:04:46.1040000
7483,2019-01-18 20:04:19.7970000
7484,2019-01-18 21:19:14.3620000
7485,2019-01-19 10:02:21.5300000
7486,2019-01-20 01:22:12.9380000
7487,2019-01-20 10:39:19.1920000
7488,2019-01-20 13:57:50.3070000
7489,2019-01-20 14:07:59.6490000
7490,2019-01-20 14:27:28.8430000
7491,2019-01-20 16:08:42.9920000
7492,2019-01-21 14:36:56.9730000
7493,2019-01-28 15:46:53.5870000
7494,2019-01-29 12:47:41.5690000
7495,2019-02-13 10:05:47.8660000
